isWin,pr,oppName,oppRating,oppPr,matchLength
false,1.25,ocbhanf,1624.0,14.81,5
false,0.86,ZZ_,2634.25,1.92,5
true,1.62,Mohr66,1824.68,4.0,5
true,0.66,rotenfels,2190.94,5.66,5
true,2.14,Bongo,1700.23,28.4,5
true,3.92,Bongo,1702.59,11.05,5
false,9.73,zingster,1850.01,9.91,5
true,3.03,ocbhanf,1592.8,11.05,5
false,3.98,JB25,2025.61,7.69,5
false,3.2,TRESOR,1824.78,7.73,5
true,4.35,yogitheta,1558.08,17.14,5
true,4.29,Calendal,1473.51,17.39,5
true,0.23,keen2learn,1938.33,7.14,5
false,7.26,HQRTLAK,2048.81,6.63,5
true,6.22,HansGusen,2480.74,2.76,7
true,7.06,alicarman,2006.7,4.44,5
true,5.43,camillo,1971.72,11.8,5
true,1.96,48maris,1892.89,7.25,5
false,3.48,Icke,1752.5,7.41,5
false,3.15,LasVegas69,2326.9,3.43,5
true,3.58,Jora,1965.4,10.6,5
false,3.56,Navel_lint,2216.34,6.57,7
true,3.52,Stapper,1818.1,9.69,5
false,2.85,squireOshakes,2468.88,5.73,5
false,6.11,Alex10,1829.2,8.83,5
true,2.7,Ronas,2172.1,3.47,5
false,3.0,Integral,2269.3,6.25,15
false,4.41,Andre,2245.6,2.74,5
true,3.59,tsune,1937.86,6.08,5
false,3.85,tiho,1912.27,7.14,7
true,4.41,48maris,1860.6,8.33,5
true,1.9,squirrel,1940.72,7.55,5
true,3.1,diru,1750.42,11.67,5
true,4.58,youlost,1952.83,6.05,9
true,8.12,HQRTLAK,2025.95,10.87,5
true,1.94,HakanInce,1942.27,8.59,5
false,5.0,The Shust,1901.97,6.6,5
false,3.44,timur_azizov,2207.92,3.39,5
true,1.96,selcukarit,1863.39,3.25,5
false,2.46,the K,1976.97,7.87,5
false,10.32,basi,1905.94,9.15,5
true,3.38,Shumway,2171.09,3.28,5
true,6.11,HansGusen,2441.48,3.58,7
true,5.77,oslocity,1781.64,10.12,9
false,4.57,Jangler,2102.36,8.56,5
false,5.74,sita,2199.04,8.39,7
true,2.84,kimhenno,2335.81,5.46,19
true,5.11,Elias K.,2426.69,1.97,7
false,4.25,Aref91777,2227.12,4.0,9
true,2.84,Aref91777,2209.85,4.68,15
true,4.46,Shumway,2160.09,3.57,5
false,3.96,kimhenno,2368.14,3.96,11
false,4.34,LeoR,1878.6,7.8,9
true,2.86,J0hnny,1927.14,3.67,5
false,3.85,denominator,2427.31,4.83,25
false,2.17,ADWoods,2155.5,5.15,7
true,3.11,HT,1747.07,8.23,7
false,3.61,findagrind,1923.8,3.58,5
true,1.37,AndreasFranken,2054.3,3.2,7
true,1.6,tigereye37,1821.35,11.0,5
true,0.0,Mutanota96,1684.65,0.0,7
true,3.62,zoeffff,2128.29,4.34,5
true,2.78,kimhenno,2299.48,3.94,7
true,2.22,findagrind,1894.56,3.93,5
false,5.98,Mutanota96,1687.75,10.1,7
false,3.19,Selbs,1865.98,6.65,7
true,4.39,YrTtKn,1489.29,16.83,9
true,6.36,Maestr0,2447.8,3.88,5
false,2.38,TheGrogfather,2097.92,7.13,7
true,4.01,mmesich,1720.27,12.21,9
false,6.33,master blunder,2182.3,5.65,5
true,3.25,alexpet74,1923.35,6.64,7
false,4.35,955688,1887.46,6.92,9
true,0.97,Hydra,1874.76,3.67,7
true,2.53,Kung Lao,1948.62,6.84,9
false,2.46,Sahlén,2468.59,6.17,5
true,1.73,Navel_lint,2170.75,2.23,7
true,10.21,Kung Lao,2069.26,13.69,5
false,1.82,RuneH,2176.52,3.72,5
false,4.77,mrchink,1883.5,12.8,5
true,4.58,955688,1883.97,11.88,9
true,4.42,blasdelezo,1806.66,10.99,5
true,5.0,kimhenno,2265.77,30.97,7
